id,keywords,year
"1283948923_00000360.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000520.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000680.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000840.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00001000.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00001160.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00001320.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000850.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000860.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000870.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000880.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000890.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000900.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000910.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000920.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000930.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000940.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000950.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000960.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000970.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000980.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000990.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
"1283948923_00000690.tif","'DEA','Deutschland','A-3','','Deutsch','Teil des Prototyps'","1900"
